Title,Artist,Nationality,GenderMFU,DateAcquired
Wohnung und Werkraum (Dwelling and Workplace) (Poster for Deutsche Werkbund Exhibition in Breslau),Johannes Molzahn, German ,M,10/30/37
BMW Motorräder,Popp-Kircheim,,U,10/30/37
Ooh! Kathereiner,Kuron - Gogol, German ,U,10/30/37
Jaah! Katheriner,Kuron - Gogol, German ,U,10/30/37
"Werkbund Ausstellung, Die Wohnung (Werkbund exhibition—The Dwelling) (Poster for exhibition organized by the Deutsche Werkbund at the Weissenhofsiedlung, Stuttgart, Germany)",Karl Ludwig Straub, German ,M,10/30/37
Die Sport Ausstellung (The Sport Exhibition) (Poster for exhibition in Magdeburg),Walter Dexel, German ,M,10/30/37
Die Sport Ausstellung Magdeburg,Walter Dexel, German ,M,10/30/37
Die Sport Ausstellung Magdeburg,Walter Dexel, German ,M,10/30/37
"Der neue Druck, das schöne Buch",Walter Dexel, German ,M,10/30/37
"Z, Landesgewerbemuseum Stuttgart Ausstellung von Werkstattarbeiten und Zeichnungen der Gewerbeschule Zürich",Unknown Designer,,U,10/30/37
"Kunstgewerbemuseum Zürich, Schuelerarbeiten aus der Baugewerblichen und der Mechanisch-Technischen Abteilung der Gewerbeschule",Ernst Keller, Swiss ,M,10/30/37
7. brezen 1930 den osvety,Ladislav Sutnar, American ,M,10/30/37
Wohnung und Werkraum (Dwelling and Workplace) (Poster for Deutsche Werkbund Exhibition in Breslau),Johannes Molzahn, German ,M,10/30/37
"Kunsthaus Zürich, Abstrakte und Surrealistische Malerei und Plastik","Jean (Hans) Arp, Walter Cyliax"," French, German ",M,10/30/37
Ausstellung Vincent Van Gogh: Kestnergesellschaft,Unknown Designer,,U,10/30/37
"Neues Bauen (New Building) (Poster for Deutsche Werkbund Exhibition at the Kunstgewerbe Museum, Zürich)",Theo H. Ballmer, Swiss ,M,10/30/37
Manoli Gold,Wilhelm Deffke, German ,M,10/30/37
Der Massanzug kleidet noch immer am besten,Walter Käch, Swiss ,M,10/30/37
Poster for the Great Bridge Revue (Große Brücken Revue),Oskar Schlemmer, German ,M,10/30/37
USSR Russische Ausstellung,El Lissitzky, Russian ,M,10/30/37
Werkstatt Arbeiten der Bewerbeschule Zuerich,Ernst Keller, Swiss ,M,10/30/37
"""Knihy Sfinx"" Vas vitezny tah",Ladislav Sutnar, American ,M,10/30/37
Die Konstruktivisten (The Constructivists) (Poster for exhibition in the Kunsthalle Basel),Jan Tschichold, Swiss ,M,10/30/37
Let's Fulfill the Plan of Great Works,Gustav Klutsis, Latvian ,M,10/30/37
May Day. We Fight For: The Five-Year Plan. For the Bolshevik Tempo. For the Armament of the USSR. For the International October [Revolution],"Gustav Klutsis, Sergei Senkin"," Latvian, Russian ",M,10/30/37
Under the Banner of Lenin - Socialist Construction,Gustav Klutsis, Latvian ,M,10/30/37
Storming the Third Year,Gustav Klutsis, Latvian ,M,10/30/37
We Shall Pay Back Our Coal Debt to This Country,Gustav Klutsis, Latvian ,M,10/30/37
Five Year Plan in Four Years,Gustav Klutsis, Latvian ,M,10/30/37
First of May - Day of the International Proletarian Solidarity,"Gustav Klutsis, Sergei Senkin"," Latvian, Russian ",M,10/30/37
Untitled,"Gustav Klutsis, Sergei Senkin"," Latvian, Russian ",M,10/30/37
"""Walk-In"" Cooler (T.V.A.)",Unknown Artist,,U,11/1/37
Norris Dam - In the Southern Highlands,D. S. Martin, American ,U,11/1/37
For Winter Days Electric Heat,Karl Edelman, American ,M,11/1/37
"""That's Shell - 'CrikeyI' -That Was'"" (To Knock - Less)",John Reynolds, British ,M,11/22/37
Gift of Shell - Mex B P,Unknown Artist,,U,11/22/37
You Can be Sure of Shell; Merchants Prefer Shell,E. McKnight Kauffer, American ,M,11/22/37
Bodiam Castle - Wherever You Go You Can Be Sure of Shell,E. McKnight Kauffer, American ,M,11/22/37
Orford Castle. Everywhere You Go You Can Be Sure of Shell,Allan Walton, British ,M,11/22/37
The Vale of Aylesbury. Everywhere You Go You Can Be Sure of Shell,Rex Whistler, British ,M,11/22/37
"General Wade's Bridge, Aberfeldy. Everywhere You Go You Can Be Sure of Shell",Edwin Calligan, British ,M,11/22/37
The Rye Marshes - Everywhere You Go You Can Be Sure of Shell,Paul Nash, British ,M,11/22/37
Entrance to Douglas - Isle of Man - Everywhere You Go You Can Be Sure of Shell,Robert Bartlett, British ,M,11/22/37
The Thames at Cookham - Everywhere You Go You Can Be Sure of Shell,W. J. Steegles, British ,U,11/22/37
Bungay - Everywhere You Go You Can Be Sure of Shell,Harold Steggles, British ,M,11/22/37
North Foreland Lighthouse - Everywhere You Go You Can Be Sure of Shell,E. Hawthorne, British ,U,11/22/37
"The Great Globe, Swanage. Wherever You Go You Can Be Sure of Shell",Graham Sutherland, British ,M,11/22/37
"Everywhere You Go, You Can Be Sure of Shell",Graham Sutherland, British ,M,11/22/37
Doctors Prefer Shell - You Can Be Sure of Shell,Graham Sutherland, British ,M,11/22/37
"St Ives, Huntingdon - Everywhere You Go You Can Be Sure of Shell",Duncan Grant, British ,M,11/22/37
Alfriston - See Britain First on Shell,Vanessa Bell, British ,F,11/22/37
Alfriston - See Britain First on Shell,Vanessa Bell, British ,F,11/22/37
"Reliability - Blackburn ""Ripon"" Torpedo Bomber",Victor Fitzgerald, British ,M,11/22/37
Performance - Shell Lubricating Oil,Victor Fitzgerald, British ,M,11/22/37
"1,000 Mile Race. Italian. You Can Be Sure of Shell",Zero (Hans Schleger), British ,M,11/22/37
Buy BP Ethyl for Anti-Knock,Zero (Hans Schleger), British ,M,11/22/37
B.P. Ethyl for Snappy Engines,Zero (Hans Schleger), British ,M,11/22/37
"Swaledale, Yorkshire - Everywhere You Go You Can Be Sure of Shell",Barnett Freedman, British ,M,11/22/37
Fill It With B.P. for Anti-Knock,Barnett Freedman, British ,M,11/22/37
Rolls-Royce Officially Approve Aeroshell Lubricating Oil,Barnett Freedman, British ,M,11/22/37
Stop Knocking - Use BP Ethyl,Clement Cowles, British ,M,11/22/37
B.P. Ethyl for Anti-Knock,Rowe, British ,U,11/22/37
"Progress ""B.P."" Ethyl Now Leading",Austin Cooper, British ,M,11/22/37
Wherever You Go You Can Be Sure of Shell (Bodiam Castle),E. McKnight Kauffer, American ,M,11/22/37
"Economize in Time, Temper, Petrol by Using Winter Shell",E. McKnight Kauffer, American ,M,11/22/37
Ask For BP Not Just Ethyl,E. McKnight Kauffer, American ,M,11/22/37
BP Ethyly Anti-Knock Controls Horse-Power,E. McKnight Kauffer, American ,M,11/22/37
Recommended for Winter - Double Shell Lubricating Oil,E. McKnight Kauffer, American ,M,11/22/37
"Aeroshell Lubricating Oil, The Aristocrat of Lubricants",E. McKnight Kauffer, American ,M,11/22/37
"The New Forest, See Britain First on Winter Shell",E. McKnight Kauffer, American ,M,11/22/37
The New Forest. See Britain First On Winter Shell,E. McKnight Kauffer, American ,M,11/22/37
"The Giant, Cerne Abbas. See Britain First On Winter Shell",Frank Dobson, British ,M,11/22/37
Gardeners Prefer Shell; You Can Be Sure Of Shell,Sir Cedric Lockwood Morris, British ,M,11/22/37
St. Osyth's Mill - See Britain First,Carl Morris, American ,M,11/22/37
"Photographers Prefer Shell, You Can Be Sure of Shell",Curtis Moffat, British ,M,11/22/37
You Can Be Sure of Shell - Athletes Prefer Shell,Eve Kirk, British ,F,11/22/37
You Can Be Sure of Shell - Seamen Prefer Shell,Tristram Hillier, British ,M,11/22/37
Architects Prefer Shell - You Can Be Sure of Shell,Hans Feibusch, British ,M,11/22/37
"You Can Be Sure of Shell, Anglers Prefer Shell",Clifford and Rosemary Ellis, British ,U,11/22/37
Antiquaries Prefer Shell - You can be Sure of Shell,Clifford and Rosemary Ellis, British ,U,11/22/37
Lower Slaughter - Everywhere You Go You Can Be Sure of Shell,Clifford and Rosemary Ellis, British ,U,11/22/37
You Can Be Sure of Shell - Artists Prefer Shell,John Armstrong, British ,M,11/22/37
You Can Be Sure of Shell - Artists Prefer Shell,John Armstrong, British ,M,11/22/37
Newlands Corner. Everywhere You Go You Can Be Sure of Shell,John Armstrong, British ,M,11/22/37
Newlands Corner. Everywhere You Go You Can Be Sure of Shell,John Armstrong, British ,M,11/22/37
Newlands Corner. Everywhere You Go You Can Be Sure of Shell,John Armstrong, British ,M,11/22/37
Winter Shell,Edgar Ainsworth, British ,M,11/22/37
"Everywhere You Go You Can be Sure of Shell Gordale Scar - The Craven Fault, Yorks",Edgar Ainsworth, British ,M,11/22/37
Mousehole Penzance. Wherever You Go You Can Be Sure Of Shell,A. Stuart-Hill, British ,U,11/22/37
"Polperro, Cornwall - Everywhere You Go You Can Be Sure of Shell",M. A. Miles,,U,11/22/37
Long Man of Wilmington. Everywhere You Go You Can Be Sure of Shell,Denis Constanduros,,M,11/22/37
Farmers Prefer Shell - You Can Be Sure of Shell,Denis Constanduros,,M,11/22/37
Bourton-on-the-Water. Everywhere You Go You Can Be Sure of Shell,Clive Gardiner, British ,M,11/22/37
"The Quay, Appledore. Everywhere You Go You Can Be Sure of Shell",Brynhild Parker, British ,M,11/22/37
West Wycombe. Everywhere You Go You Can Be Sure of Shell,C. Mann, British ,U,11/22/37
"Think Ethyl Say ""BP""",Tom Purvis, British ,M,11/22/37
For Snappy Engines - Girls In Car,Tom Purvis, British ,M,11/22/37
Eilean Donan Road To The Isles - Everywhere You Go,Tom Purvis, British ,M,11/22/37
"Harlech, Snowden and Beddgelert - See Britain First on Shell",Tom Purvis, British ,M,11/22/37
B.P. Plus - Plus A Little Something Some Others Haven't Got,Ronald Dickens, British ,M,11/22/37
Shell By Day and By Night,S. Watson, British ,U,11/22/37
BP Ethyl Controls Horse Power,Paolo Garretto, Italian ,U,11/22/37
Winter Shell - Now On Sale Again,Rowland Hilder, British ,M,11/22/37
Shell - Mex House,Henry Rushburg, British ,M,11/22/37
Llanstephan - Everywhere You Go You Can Be Sure of Shell,H. E. Du Plessis, British ,M,11/22/37
